,userId,movieId,rating,timestamp,title,genres,estimate
0,11,6,5,902154266,Heat (1995),Action|Crime|Thriller,
13,11,349,5,902154342,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,
55,11,1784,5,902155043,As Good as It Gets (1997),Comedy|Drama|Romance,
54,11,1721,5,902154989,Titanic (1997),Drama|Romance,
52,11,1693,5,902155102,Amistad (1997),Drama|Mystery,
45,11,1584,5,902155136,Contact (1997),Drama|Sci-Fi,
40,11,1408,5,902154383,"Last of the Mohicans, The (1992)",Action|Romance|War|Western,
34,11,1101,5,901200233,Top Gun (1986),Action|Romance,
28,11,593,5,902155102,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,
26,11,529,5,902155043,Searching for Bobby Fischer (1993),Drama,
20,11,457,5,902154316,"Fugitive, The (1993)",Thriller,
14,11,356,5,901200263,Forrest Gump (1994),Comedy|Drama|Romance|War,
63,11,2028,5,902153951,Saving Private Ryan (1998),Action|Drama|War,
6,11,150,5,902154266,Apollo 13 (1995),Adventure|Drama|IMAX,
5,11,110,5,902154266,Braveheart (1995),Action|Drama|War,
12,11,318,4,902155070,"Shawshank Redemption, The (1994)",Crime|Drama,
35,11,1210,4,902154266,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,
11,11,292,4,902154383,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,
42,11,1518,4,902154431,Breakdown (1997),Action|Thriller,
43,11,1552,4,902154458,Con Air (1997),Action|Adventure|Thriller,
46,11,1586,4,902154487,G.I. Jane (1997),Action|Drama,
47,11,1597,4,902154487,Conspiracy Theory (1997),Drama|Mystery|Romance|Thriller,
48,11,1604,4,902154647,Money Talks (1997),Action|Comedy,
49,11,1608,4,902154316,Air Force One (1997),Action|Thriller,
53,11,1704,4,902155102,Good Will Hunting (1997),Drama|Romance,
2,11,36,4,902155135,Dead Man Walking (1995),Crime|Drama,
56,11,1840,4,901200111,He Got Game (1998),Drama,
58,11,1917,4,901200037,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,
59,11,1918,4,901200070,Lethal Weapon 4 (1998),Action|Comedy|Crime|Thriller,
60,11,1923,4,904510428,There's Something About Mary (1998),Comedy|Romance,
36,11,1358,4,902155136,Sling Blade (1996),Drama,
32,11,780,4,902154487,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,
22,11,474,4,902154431,In the Line of Fire (1993),Action|Thriller,
29,11,648,4,902154514,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,
23,11,480,4,902154383,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,
25,11,511,4,902154514,"Program, The (1993)",Action|Drama,
9,11,170,4,902154621,Hackers (1995),Action|Adventure|Crime|Thriller,
27,11,589,4,902154266,Terminator 2: Judgment Day (1991),Action|Sci-Fi,
18,11,380,4,902154431,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,
30,11,733,4,902154431,"Rock, The (1996)",Action|Adventure|Thriller,
31,11,736,4,902154542,Twister (1996),Action|Adventure|Romance|Thriller,
17,11,377,3,902154431,Speed (1994),Action|Romance|Thriller,
50,11,1616,3,902154542,"Peacemaker, The (1997)",Action|Thriller|War,
19,11,434,3,902154685,Cliffhanger (1993),Action|Adventure|Thriller,
15,11,368,3,904510567,Maverick (1994),Adventure|Comedy|Western,
10,11,208,3,902154706,Waterworld (1995),Action|Adventure|Sci-Fi,
4,11,95,3,902154458,Broken Arrow (1996),Action|Adventure|Thriller,
62,11,2027,3,904510428,Jane Austen's Mafia! (1998),Comedy|Crime,
51,11,1687,3,902154647,"Jackal, The (1997)",Action|Thriller,
1,11,10,3,902154316,GoldenEye (1995),Action|Adventure|Thriller,
21,11,466,3,902154805,Hot Shots! Part Deux (1993),Action|Comedy|War,
33,11,1100,3,902154621,Days of Thunder (1990),Action|Drama|Romance,
24,11,493,3,902154805,Menace II Society (1993),Action|Crime|Drama,
44,11,1573,3,902154542,Face/Off (1997),Action|Crime|Drama|Thriller,
41,11,1438,3,902154647,Dante's Peak (1997),Action|Thriller,
8,11,165,3,902154567,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,
37,11,1370,3,902154383,Die Hard 2 (1990),Action|Adventure|Thriller,
7,11,153,3,902154593,Batman Forever (1995),Action|Adventure|Comedy|Crime,
38,11,1385,3,902154542,Under Siege (1992),Action|Drama|Thriller,
3,11,44,2,902154593,Mortal Kombat (1995),Action|Adventure|Fantasy,
57,11,1882,2,901200143,Godzilla (1998),Action|Sci-Fi|Thriller,
16,11,376,2,902154684,"River Wild, The (1994)",Action|Thriller,
61,11,2002,2,902154383,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama,
39,11,1391,1,902154685,Mars Attacks! (1996),Action|Comedy|Sci-Fi,
