,movieId,title,genres
2283,3030,Yojimbo (1961),Action|Adventure
924,1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
659,858,"Godfather, The (1972)",Crime|Drama
257,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
9618,177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
7364,78836,Enter the Void (2009),Drama
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
3622,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
841,1104,"Streetcar Named Desire, A (1951)",Drama
5202,8477,"Jetée, La (1962)",Romance|Sci-Fi
