,userId,movieId,rating,timestamp,title,genres,estimate
28,2,131724,5,1445714851,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary,
27,2,122882,5,1445715272,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,
22,2,106782,5,1445714966,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,
18,2,89774,5,1445715189,Warrior (2011),Drama,
16,2,80906,5,1445715172,Inside Job (2010),Documentary,
9,2,60756,5,1445714980,Step Brothers (2008),Comedy,
12,2,74458,4,1445714926,Shutter Island (2010),Drama|Mystery|Thriller,
24,2,112552,4,1445714882,Whiplash (2014),Drama,
17,2,86345,4,1445715166,Louis C.K.: Hilarious (2010),Comedy,
15,2,80489,4,1445715340,"Town, The (2010)",Crime|Drama|Thriller,
1,2,333,4,1445715029,Tommy Boy (1995),Comedy,
14,2,79132,4,1445714841,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,
4,2,6874,4,1445714952,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,
10,2,68157,4,1445715154,Inglourious Basterds (2009),Action|Drama|War,
8,2,58559,4,1445715141,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,
7,2,48516,4,1445715064,"Departed, The (2006)",Crime|Drama|Thriller,
6,2,46970,4,1445715013,Talladega Nights: The Ballad of Ricky Bobby (2006),Action|Comedy,
2,2,1704,4,1445715228,Good Will Hunting (1997),Drama|Romance,
3,2,3578,4,1445714885,Gladiator (2000),Action|Adventure|Drama,
11,2,71535,3,1445714974,Zombieland (2009),Action|Comedy|Horror,
26,2,115713,3,1445714854,Ex Machina (2015),Drama|Sci-Fi|Thriller,
23,2,109487,3,1445715145,Interstellar (2014),Sci-Fi|IMAX,
0,2,318,3,1445714835,"Shawshank Redemption, The (1994)",Crime|Drama,
21,2,99114,3,1445714874,Django Unchained (2012),Action|Drama|Western,
13,2,77455,3,1445714941,Exit Through the Gift Shop (2010),Comedy|Documentary,
19,2,91529,3,1445714891,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,
5,2,8798,3,1445714960,Collateral (2004),Action|Crime|Drama|Thriller,
25,2,114060,2,1445715276,The Drop (2014),Crime|Drama|Thriller,
20,2,91658,2,1445714938,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller,
